"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Legs","Aug 12, 2026, 6:08 PM","Aug 12, 2026, 7:28 PM","W, consecutive 25k+ vol","Stretching",,"",0,"normal",,,,512,
"Legs","Aug 12, 2026, 6:08 PM","Aug 12, 2026, 7:28 PM","W, consecutive 25k+ vol","Lunge (Barbell)",,"Used 12.5 kgs bar",0,"normal",20,30,,,
"Legs","Aug 12, 2026, 6:08 PM","Aug 12, 2026, 7:28 PM","W, consecutive 25k+ vol","Lunge (Barbell)",,"Used 12.5 kgs bar",1,"normal",32.5,30,,,
"Legs","Aug 12, 2026, 6:08 PM","Aug 12, 2026, 7:28 PM","W, consecutive 25k+ vol","Lunge (Barbell)",,"Used 12.5 kgs bar",2,"normal",32.5,34,,,
"Legs","Aug 12, 2026, 6:08 PM","Aug 12, 2026, 7:28 PM","W, consecutive 25k+ vol","Seated Leg Curl (Machine)",,"",0,"normal",55,18,,,
"Legs","Aug 12, 2026, 6:08 PM","Aug 12, 2026, 7:28 PM","W, consecutive 25k+ vol","Seated Leg Curl (Machine)",,"",1,"normal",70,12,,,
"Legs","Aug 12, 2026, 6:08 PM","Aug 12, 2026, 7:28 PM","W, consecutive 25k+ vol","Seated Leg Curl (Machine)",,"",2,"normal",70,7,,,
"Legs","Aug 12, 2026, 6:08 PM","Aug 12, 2026, 7:28 PM","W, consecutive 25k+ vol","Seated Leg Curl (Machine)",,"",3,"dropset",55,7,,,
"Legs","Aug 12, 2026, 6:08 PM","Aug 12, 2026, 7:28 PM","W, consecutive 25k+ vol","Leg Extension (Machine)",,"",0,"warmup",55,18,,,
"Legs","Aug 12, 2026, 6:08 PM","Aug 12, 2026, 7:28 PM","W, consecutive 25k+ vol","Leg Extension (Machine)",,"",1,"normal",75,18,,,
"Legs","Aug 12, 2026, 6:08 PM","Aug 12, 2026, 7:28 PM","W, consecutive 25k+ vol","Leg Extension (Machine)",,"",2,"normal",75,18,,,
"Legs","Aug 12, 2026, 6:08 PM","Aug 12, 2026, 7:28 PM","W, consecutive 25k+ vol","Leg Extension (Machine)",,"",3,"dropset",50,8,,,
"Legs","Aug 12, 2026, 6:08 PM","Aug 12, 2026, 7:28 PM","W, consecutive 25k+ vol","Hip Adduction (Machine)",0,"",0,"normal",70,15,,,
"Legs","Aug 12, 2026, 6:08 PM","Aug 12, 2026, 7:28 PM","W, consecutive 25k+ vol","Hip Adduction (Machine)",0,"",1,"normal",80,15,,,
"Legs","Aug 12, 2026, 6:08 PM","Aug 12, 2026, 7:28 PM","W, consecutive 25k+ vol","Hip Abduction (Machine)",0,"",0,"normal",70,15,,,
"Legs","Aug 12, 2026, 6:08 PM","Aug 12, 2026, 7:28 PM","W, consecutive 25k+ vol","Hip Abduction (Machine)",0,"",1,"normal",80,15,,,
"Legs","Aug 12, 2026, 6:08 PM","Aug 12, 2026, 7:28 PM","W, consecutive 25k+ vol","Leg Press (Machine)",,"",0,"normal",120,18,,,
"Legs","Aug 12, 2026, 6:08 PM","Aug 12, 2026, 7:28 PM","W, consecutive 25k+ vol","Leg Press (Machine)",,"",1,"normal",160,15,,,
"Legs","Aug 12, 2026, 6:08 PM","Aug 12, 2026, 7:28 PM","W, consecutive 25k+ vol","Leg Press (Machine)",,"",2,"normal",210,15,,,
"Legs","Aug 12, 2026, 6:08 PM","Aug 12, 2026, 7:28 PM","W, consecutive 25k+ vol","Standing Calf Raise (Smith)",,"",0,"normal",55,25,,,
"Legs","Aug 12, 2026, 6:08 PM","Aug 12, 2026, 7:28 PM","W, consecutive 25k+ vol","Standing Calf Raise (Smith)",,"",1,"normal",70,18,,,
"Legs","Aug 12, 2026, 6:08 PM","Aug 12, 2026, 7:28 PM","W, consecutive 25k+ vol","Standing Calf Raise (Smith)",,"",2,"normal",70,16,,,
"Legs","Aug 12, 2026, 6:08 PM","Aug 12, 2026, 7:28 PM","W, consecutive 25k+ vol","Seated Wrist Extension (Barbell)",,"Machine",0,"normal",10,22,,,
"Legs","Aug 12, 2026, 6:08 PM","Aug 12, 2026, 7:28 PM","W, consecutive 25k+ vol","Seated Wrist Extension (Barbell)",,"Machine",1,"normal",15,20,,,
"Pull","Aug 11, 2026, 6:02 PM","Aug 11, 2026, 7:29 PM","","Stretching",,"",0,"normal",,,,367,
"Pull","Aug 11, 2026, 6:02 PM","Aug 11, 2026, 7:29 PM","","Pull Up",,"",0,"normal",,17,,,
"Pull","Aug 11, 2026, 6:02 PM","Aug 11, 2026, 7:29 PM","","Pull Up (Weighted)",,"",0,"normal",10,10,,,
"Pull","Aug 11, 2026, 6:02 PM","Aug 11, 2026, 7:29 PM","","Pull Up (Weighted)",,"",1,"normal",10,8,,,
"Pull","Aug 11, 2026, 6:02 PM","Aug 11, 2026, 7:29 PM","","Chest Supported Incline Row (Dumbbell)",,"",0,"warmup",40,15,,,
"Pull","Aug 11, 2026, 6:02 PM","Aug 11, 2026, 7:29 PM","","Chest Supported Incline Row (Dumbbell)",,"",1,"normal",55,12,,,
"Pull","Aug 11, 2026, 6:02 PM","Aug 11, 2026, 7:29 PM","","Chest Supported Incline Row (Dumbbell)",,"",2,"normal",60,12,,,
